 R   <X|H|A> 
14.3056 -5.755963366350635e-6
14.31279 -5.757226561507635e-6
14.31997 -5.758482473224833e-6
14.32715 -5.759738400647945e-6
14.33433 -5.76098329404264e-6
14.34151 -5.76222818961072e-6
14.34869 -5.763467594002984e-6
14.35587 -5.764701472283909e-6
14.36305 -5.765935372005801e-6
14.37023 -5.7671527250988834e-6
14.37741 -5.768381096304532e-6
14.3846 -5.7695946501092694e-6
14.39178 -5.770806500302887e-6
14.39896 -5.77202386923839e-6
14.40614 -5.773230202867002e-6
14.41332 -5.774431029699994e-6
14.4205 -5.77562085735711e-6
14.42768 -5.776816178133976e-6
14.43486 -5.778000497960097e-6
14.44204 -5.779190310552886e-6
14.44922 -5.780369108805903e-6
14.4564 -5.781547920336102e-6
14.46359 -5.782722841454078e-6
14.47077 -5.783890634763247e-6
14.47795 -5.785058412207672e-6
14.48513 -5.7862206801159624e-6
14.49231 -5.787377457171874e-6
14.49949 -5.788534218603204e-6
14.50667 -5.789685488684369e-6
14.51385 -5.790831233542781e-6
14.52103 -5.7919769791246504e-6
14.52821 -5.793117234339255e-6
14.5354 -5.794253541571137e-6
14.54258 -5.795382777796235e-6
14.54976 -5.796517504666315e-6
14.55694 -5.797641228778555e-6
14.56412 -5.798764939702537e-6
14.5713 -5.799883141966098e-6
14.57848 -5.801001360207983e-6
14.58566 -5.802114057263721e-6
14.59284 -5.80321575077472e-6
14.60002 -5.8043229331522945e-6
14.60721 -5.805431658353634e-6
14.61439 -5.806527838866789e-6
14.62157 -5.8076240071147345e-6
14.62875 -5.808714681685657e-6
14.63593 -5.809805341886113e-6
14.64311 -5.8108904936859635e-6
14.65029 -5.811975661319018e-6
14.65747 -5.813055305561599e-6
14.66465 -5.814134964882459e-6
14.67183 -5.81520910441182e-6
14.67901 -5.816277728737181e-6
14.6862 -5.8173533696300664e-6
14.69338 -5.818410974830677e-6
14.70056 -5.8194741115138235e-6
14.70774 -5.820537229022723e-6
14.71492 -5.821594838410192e-6
14.7221 -5.822646954831254e-6
14.72928 -5.8236990570446176e-6
14.73646 -5.8247456673072655e-6
14.74364 -5.825786751511514e-6
14.75082 -5.826833359024235e-6
14.75801 -5.827875894263287e-6
14.76519 -5.8289114692477235e-6
14.77237 -5.829947061647792e-6
14.77955 -5.830982635945599e-6
14.78673 -5.832007209218994e-6
14.79391 -5.833037278087494e-6
14.80109 -5.834061838621135e-6
14.80827 -5.835080904440821e-6
14.81545 -5.836099957691643e-6
14.82263 -5.83711351388871e-6
14.82981 -5.838132567376994e-6
14.837 -5.839142009329872e-6
14.84418 -5.84015006003839e-6
14.85136 -5.841158092868544e-6
14.85854 -5.842160633456044e-6
14.86572 -5.843168668397918e-6
14.8729 -5.844165686230644e-6
14.88008 -5.845162717726035e-6
14.88726 -5.846159737088745e-6
14.89444 -5.847151261382768e-6
14.90162 -5.84814277258022e-6
14.90881 -5.849130148303417e-6
14.91599 -5.850116164448627e-6
14.92317 -5.85110216406051e-6
14.93035 -5.852082669647659e-6
14.93753 -5.853063162238813e-6
14.94471 -5.85403815998217e-6
14.95189 -5.855013144312409e-6
14.95907 -5.855988129736523e-6
14.96625 -5.856957620567564e-6
14.97343 -5.8579270955596855e-6
14.98061 -5.858896588526036e-6
14.9878 -5.859861901885669e-6
14.99498 -5.860831377198247e-6
15.00216 -5.8617898464427595e-6
15.00934 -5.862748306636175e-6
15.01652 -5.863706778884836e-6
15.0237 -5.864659729396501e-6
15.03088 -5.865618189836428e-6
15.03806 -5.866565646359315e-6
15.04524 -5.867518596127502e-6
