 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C> 
2.63 -0.032037682265558615 0.10831497927543926 0.18825562407258883 0.17271659483411217
2.64 -0.033159333871845796 0.10710750525489227 0.187068005678651 0.17157107770881935
2.65 -0.03425831255694214 0.10591923046396572 0.18589945664685595 0.17044502378058415
2.66 -0.035334895190200416 0.1047498983563694 0.1847497461533546 0.1693381923206048
2.67 -0.0363893586409732 0.10359925238581334 0.18361864337429823 0.16825034260007943
2.68 -0.037421979778613244 0.10246703600600732 0.18250591748583786 0.16718123389020612
2.69 -0.038433035472473155 0.10135299267066135 0.18141133766412476 0.1661306254621833
2.7 -0.03942280259190566 0.10025686583348525 0.18033467308530993 0.16509827658720888
2.71 -0.04039155800626337 0.09917839894818901 0.17927569292554457 0.16408394653648115
2.72 -0.041339578584899006 0.09811733546848242 0.17823416636097972 0.1630873945811982
2.73 -0.042267141197165174 0.0970734188480755 0.17720986256776666 0.16210837999255828
2.74 -0.04317452271241462 0.09604639254067802 0.17620255072205634 0.16114666204175948
2.75 -0.04406199999999994 0.09503600000000002 0.17521200000000006 0.16020200000000007
2.76 -0.044929850063606294 0.09404198859893416 0.17423797807775662 0.15927415265926864
2.77 -0.04577835044424867 0.09306412138710447 0.17328024663151617 0.15836287689471584
2.78 -0.04660777881727441 0.09210216533331785 0.17233856583747664 0.15746792910228288
2.79 -0.047418412858030994 0.09115588740638111 0.17141269587183594 0.15658906567791092
2.8 -0.04821053024186577 0.09022505457510119 0.17050239691079191 0.1557260430175411
2.81 -0.0489844086441262 0.08930943380828488 0.1696074291305425 0.15487861751711463
2.82 -0.04974032574015964 0.08840879207473912 0.16872755270728568 0.1540465455725727
2.83 -0.05047855920531357 0.08752289634327072 0.16786252781721922 0.15322958357985642
2.84 -0.05119938671493532 0.08665151358268657 0.16701211463654123 0.15242748793490699
2.85 -0.05190308594437238 0.08579441076179352 0.1661760733414494 0.15164001503366553
2.86 -0.052589934568972097 0.08495135484939847 0.16535416410814174 0.15086692127207332
2.87 -0.053260210264081925 0.08412211281430823 0.16454614711281612 0.15010796304607135
2.88 -0.053914190705049235 0.08330645162532974 0.16375178253167055 0.14936289675160097
2.89 -0.0545521535672215 0.0825041382512698 0.16297083054090283 0.1486314787846033
2.9 -0.05517437652594605 0.08171493966093532 0.16220305131671095 0.14791346554101947
2.91 -0.05578113725657037 0.08093862282313312 0.1614482050352927 0.14720861341679062
2.92 -0.05637271343444181 0.0801749547066701 0.1607060518728461 0.14651667880785801
2.93 -0.05694938273490782 0.0794237022803531 0.15997635200556898 0.14583741811016268
2.94 -0.05751142283331579 0.07868463251298904 0.15925886560965932 0.14517058771964597
2.95 -0.05805911140501316 0.07795751237338473 0.158553352861315 0.14451594403224893
2.96 -0.05859272612534729 0.07724210883034709 0.15785957393673392 0.14387324344391278
2.97 -0.059112544669665645 0.07653818885268289 0.15717728901211395 0.14324224235057859
2.98 -0.0596188447133156 0.0758455194091991 0.15650625826365305 0.14262269714818765
2.99 -0.06011190393164458 0.07516386746870252 0.1558462418675491 0.14201436423268107
3.0 -0.060591999999999986 0.07449300000000006 0.15519700000000008 0.14141700000000004
3.01 -0.061059392444714276 0.07383269967427453 0.1545583097210137 0.14083037805093507
3.02 -0.06151426819606012 0.07318281197221256 0.15393001562583733 0.14025434080567395
3.03 -0.06195679603529516 0.07254319807687687 0.15331197919352824 0.13968874788925387
3.04 -0.06238714474367713 0.07191371917133 0.15270406190314365 0.13913345892671194
3.05 -0.06280548310246369 0.07129423643863467 0.15210612523374076 0.1385883335430854
3.06 -0.06321197989291252 0.07068461106185345 0.15151803066437683 0.1380532313634113
3.07 -0.06360680389628133 0.07008470422404903 0.1509396396741092 0.13752801201272688
3.08 -0.06399012389382781 0.06949437710828399 0.150370813741995 0.13701253511606934
3.09 -0.06436210866680964 0.068913490897621 0.14981141434709155 0.13650666029847572
3.1 -0.06472292699648449 0.06834190677512267 0.149261302968456 0.13601024718498325
3.11 -0.06507274766411007 0.06777948592385165 0.14872034108514565 0.13552315540062904
3.12 -0.06541173945094407 0.06722608952687058 0.14818839017621768 0.1350452445704503
3.13 -0.06574007113824416 0.06668157876724208 0.14766531172072944 0.1345763743194842
3.14 -0.06605791150726807 0.06614581482802878 0.14715096719773807 0.13411640427276783
