# Data
     {R}           <X|d/dR|A>      <X|d/dR|B>     <X|d/dR|C>       <A|d/dR|B>     <A|d/dR|C>      <B|d/dR|C>
3.60000000e+01  -1.70000000e-05 0.00000000e+00  1.00000000e-06  -6.00000000e-06 2.00000000e-06  -2.04000000e-04
3.62500000e+01  -1.70000000e-05 0.00000000e+00  1.00000000e-06  -6.00000000e-06 5.00000000e-06  -1.12000000e-04
3.65000000e+01  -1.70000000e-05 0.00000000e+00  0.00000000e+00  -6.00000000e-06 6.00000000e-06  -6.20000000e-05
3.67500000e+01  -1.70000000e-05 0.00000000e+00  0.00000000e+00  -6.00000000e-06 6.00000000e-06  -3.90000000e-05
3.70000000e+01  -1.60000000e-05 0.00000000e+00  0.00000000e+00  -6.00000000e-06 6.00000000e-06  -2.90000000e-05
3.72500000e+01  -1.60000000e-05 -0.00000000e+00 0.00000000e+00  -6.00000000e-06 6.00000000e-06  -2.20000000e-05
3.75000000e+01  -1.60000000e-05 0.00000000e+00  0.00000000e+00  -5.00000000e-06 7.00000000e-06  -1.60000000e-05
3.77500000e+01  -1.60000000e-05 0.00000000e+00  0.00000000e+00  -5.00000000e-06 7.00000000e-06  -1.20000000e-05
3.80000000e+01  -1.60000000e-05 -0.00000000e+00 -0.00000000e+00 -4.00000000e-06 7.00000000e-06  -1.00000000e-05
3.82500000e+01  -1.50000000e-05 -0.00000000e+00 -0.00000000e+00 -4.00000000e-06 7.00000000e-06  -8.00000000e-06
3.85000000e+01  -1.50000000e-05 -0.00000000e+00 -0.00000000e+00 -5.00000000e-06 7.00000000e-06  -7.00000000e-06
3.87500000e+01  -1.50000000e-05 -0.00000000e+00 -0.00000000e+00 -5.00000000e-06 6.00000000e-06  -6.00000000e-06
3.90000000e+01  -1.40000000e-05 -0.00000000e+00 -0.00000000e+00 -5.00000000e-06 6.00000000e-06  -5.00000000e-06
3.92500000e+01  -1.40000000e-05 -0.00000000e+00 -0.00000000e+00 -5.00000000e-06 6.00000000e-06  -4.00000000e-06
3.95000000e+01  -1.40000000e-05 -0.00000000e+00 0.00000000e+00  -5.00000000e-06 6.00000000e-06  -3.00000000e-06
3.97500000e+01  -1.40000000e-05 -0.00000000e+00 0.00000000e+00  -5.00000000e-06 6.00000000e-06  -3.00000000e-06
4.00000000e+01  -1.40000000e-05 -0.00000000e+00 0.00000000e+00  -5.00000000e-06 6.00000000e-06  -2.00000000e-06
4.02500000e+01  -1.30000000e-05 -0.00000000e+00 0.00000000e+00  -5.00000000e-06 5.00000000e-06  -2.00000000e-06
4.05000000e+01  -1.30000000e-05 -0.00000000e+00 0.00000000e+00  -5.00000000e-06 5.00000000e-06  -2.00000000e-06
4.07500000e+01  -1.30000000e-05 -0.00000000e+00 0.00000000e+00  -5.00000000e-06 5.00000000e-06  -2.00000000e-06
4.10000000e+01  -1.20000000e-05 -0.00000000e+00 0.00000000e+00  -5.00000000e-06 5.00000000e-06  -2.00000000e-06
4.12500000e+01  -1.20000000e-05 -0.00000000e+00 0.00000000e+00  -4.00000000e-06 6.00000000e-06  -2.00000000e-06
4.15000000e+01  -1.20000000e-05 -0.00000000e+00 0.00000000e+00  -4.00000000e-06 6.00000000e-06  -1.00000000e-06
4.17500000e+01  -1.20000000e-05 -0.00000000e+00 0.00000000e+00  -4.00000000e-06 6.00000000e-06  -1.00000000e-06
4.20000000e+01  -1.20000000e-05 -0.00000000e+00 0.00000000e+00  -4.00000000e-06 6.00000000e-06  -1.00000000e-06
4.22500000e+01  -1.10000000e-05 -0.00000000e+00 0.00000000e+00  -4.00000000e-06 6.00000000e-06  -1.00000000e-06
4.25000000e+01  -1.10000000e-05 -0.00000000e+00 0.00000000e+00  -4.00000000e-06 6.00000000e-06  -1.00000000e-06
4.27500000e+01  -1.10000000e-05 -0.00000000e+00 0.00000000e+00  -4.00000000e-06 6.00000000e-06  -1.00000000e-06
4.30000000e+01  -1.10000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 6.00000000e-06  -0.00000000e+00
4.32500000e+01  -1.10000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 6.00000000e-06  -0.00000000e+00
4.35000000e+01  -1.10000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 6.00000000e-06  -0.00000000e+00
4.37500000e+01  -1.00000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 6.00000000e-06  -0.00000000e+00
4.40000000e+01  -1.00000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 6.00000000e-06  -0.00000000e+00
4.42500000e+01  -1.00000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.45000000e+01  -1.00000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.47500000e+01  -1.00000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.50000000e+01  -1.00000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.52500000e+01  -1.00000000e-05 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.55000000e+01  -9.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.57500000e+01  -9.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.60000000e+01  -9.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.62500000e+01  -9.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.65000000e+01  -9.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.67500000e+01  -9.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 5.00000000e-06  -0.00000000e+00
4.70000000e+01  -9.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.72500000e+01  -9.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.75000000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.77500000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.80000000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.82500000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.85000000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.87500000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.90000000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.92500000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 4.00000000e-06  -0.00000000e+00
4.95000000e+01  -8.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 3.00000000e-06  -0.00000000e+00
4.97500000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 3.00000000e-06  -0.00000000e+00
5.00000000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -3.00000000e-06 3.00000000e-06  -0.00000000e+00
5.02500000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.05000000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.07500000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.10000000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 3.00000000e-06  -0.00000000e+00
