 R   <X|d/dR|A>   <X|d/dR|B>   <X|d/dR|C>   <A|d/dR|B>   <A|d/dR|C>   <B|d/dR|C> 
1.59 -0.4251865578940096 -0.06830413600296575 -0.024480754542624376 0.06399642930254917 0.17477649650054353 -0.1812556998691252
1.6 -0.4252045576996003 -0.06898572909413764 -0.024313266762317542 0.06476933405399063 0.17429906262247402 -0.18297067685794172
1.61 -0.42505090062422013 -0.06965250444792243 -0.024152709102779904 0.06553343243788592 0.1737488864910007 -0.18464278924742986
1.62 -0.42472558666786897 -0.0703044620643201 -0.023999081564011468 0.0662887244542351 0.17312596810612363 -0.18627203703758966
1.63 -0.4242420258640397 -0.07093971314817027 -0.023848317642732212 0.067033741077086 0.17243132749337406 -0.18785319690078775
1.64 -0.42368067841368967 -0.0715469249285104 -0.023676018319261936 0.06775966815072593 0.17167108480593932 -0.18935492887122474
1.65 -0.42305495435031176 -0.07212420861018005 -0.023478117090320612 0.06846503664920275 0.17084626006935072 -0.19077200962126728
1.66 -0.42236485367390597 -0.0726715641931792 -0.023254613955908252 0.06914984657251647 0.16995685328360818 -0.19210443915091546
1.67 -0.4216103763844724 -0.07318899167750789 -0.023005508916024844 0.06981409792066706 0.16900286444871174 -0.19335221746016917
1.68 -0.42079152248201085 -0.0736764910631661 -0.022730801970670393 0.07045779069365456 0.16798429356466144 -0.19451534454902852
1.69 -0.41990829196652146 -0.07413406235015381 -0.022430493119844897 0.07108092489147895 0.1669011406314572 -0.19559382041749337
1.7 -0.41896068483800425 -0.07456170553847105 -0.02210458236354836 0.07168350051414023 0.1657534056490991 -0.19658764506556392
1.71 -0.41794870109645915 -0.07495942062811779 -0.021753069701780776 0.07226551756163839 0.16454108861758704 -0.19749681849323994
1.72 -0.41687234074188617 -0.07532720761909406 -0.021375955134542147 0.07282697603397345 0.16326418953692112 -0.19832134070052163
1.73 -0.4157316037742854 -0.07566506651139987 -0.020973238661832472 0.07336787593114542 0.16192270840710135 -0.19906121168740884
1.74 -0.4145264901936566 -0.07597299730503516 -0.020544920283651756 0.07388821725315425 0.16051664522812759 -0.19971643145390164
1.75 -0.4132570000000001 -0.076251 -0.020091 0.07438800000000001 0.159046 -0.200287
1.76 -0.4119231331933156 -0.07649907459629433 -0.019611477810877194 0.07486722417168264 0.15751077272271846 -0.20077291732570401
1.77 -0.41052488977360335 -0.07671722109391822 -0.019106353716283348 0.07532588976820216 0.15591096339628308 -0.20117418343101356
1.78 -0.4090622697408631 -0.07690543949287158 -0.01857562771621846 0.07576399678955857 0.15424657202069372 -0.2014907983159287
1.79 -0.4075352730950951 -0.0770637297931545 -0.018019299810682524 0.07618154523575188 0.15251759859595054 -0.20172276198044942
1.8 -0.4059438998362992 -0.07719209199476693 -0.017437369999675545 0.07657853510678209 0.15072404312205342 -0.20187007442457572
1.81 -0.4042881499644753 -0.07729052609770885 -0.01682983828319752 0.07695496640264918 0.14886590559900242 -0.20193273564830758
1.82 -0.4025680234796237 -0.07735903210198031 -0.016196704661248455 0.07731083912335315 0.1469431860267975 -0.20191074565164507
1.83 -0.4007835203817442 -0.07739761000758129 -0.015537969133828345 0.07764615326889403 0.1449558844054387 -0.20180410443458807
1.84 -0.3989346406708367 -0.07740625981451178 -0.014853631700937188 0.07796090883927179 0.14290400073492598 -0.20161281199713674
1.85 -0.39702138434690154 -0.0773849815227718 -0.014143692362574989 0.07825510583448644 0.1407875350152594 -0.20133686833929093
1.86 -0.3950437514099384 -0.07733377513236134 -0.013408151118741746 0.078528744254538 0.13860648724643887 -0.20097627346105074
1.87 -0.3930017418599474 -0.07725264064328038 -0.01264700796943746 0.07878182409942644 0.1363608574284645 -0.20053102736241613
1.88 -0.39088207994344937 -0.07713924935903901 -0.011863747116853158 0.07901264131836276 0.13406394043602135 -0.19999462513614827
1.89 -0.3886051111395687 -0.07697962910069754 -0.01107927377413489 0.07921097160661288 0.13179550551722022 -0.1993280373388141
1.9 -0.3861575596948261 -0.07677145117176608 -0.010297072143473682 0.07937511091338778 0.1295688475467462 -0.19852475906317477
1.91 -0.3835394256092218 -0.07651471557224457 -0.009517142224869537 0.07950505923868748 0.12738396652459938 -0.19758479030923035
1.92 -0.3807507088827556 -0.07620942230213305 -0.008739484018322452 0.07960081658251195 0.1252408624507797 -0.19650813107698084
1.93 -0.3777914095154275 -0.0758555713614315 -0.00796409752383243 0.07966238294486121 0.12313953532528721 -0.19529478136642617
