# Data
{R} <G|V|G> <H|V|H>
7.0169311 0.1485311 0.1556652
7.024112 0.14850533 0.1556456
7.031293 0.14848007 0.15562615
7.038474 0.14845531 0.15560683
7.0456549 0.14843104 0.15558765
7.0528359 0.14840724 0.15556862
7.0600168 0.14838391 0.15554972
7.0671978 0.14836102 0.15553098
7.0743788 0.14833857 0.15551238
7.0815597 0.14831654 0.15549393
7.0887407 0.14829493 0.15547563
7.0959216 0.14827371 0.15545747
7.1031026 0.14825289 0.15543947
7.1102835 0.14823246 0.1554216
7.1174645 0.1482124 0.15540388
7.1246455 0.14819272 0.15538629
7.1318264 0.14817341 0.15536883
7.1390074 0.14815446 0.15535149
7.1461883 0.14813586 0.15533428
7.1533693 0.14811761 0.15531719
7.1605503 0.1480997 0.15530022
7.1677312 0.14808213 0.15528336
7.1749122 0.14806488 0.15526661
7.1820931 0.14804796 0.15524996
7.1892741 0.14803135 0.15523342
7.1964551 0.14801506 0.15521699
7.203636 0.14799907 0.15520065
7.210817 0.14798337 0.1551844
7.2179979 0.14796797 0.15516825
7.2251789 0.14795286 0.15515218
7.2323599 0.14793803 0.1551362
7.2395408 0.14792348 0.15512031
7.2467218 0.14790919 0.1551045
7.2539027 0.14789517 0.15508876
7.2610837 0.14788142 0.15507311
7.2682647 0.14786791 0.15505752
7.2754456 0.14785466 0.15504201
7.2826266 0.14784165 0.15502657
7.2898075 0.14782888 0.15501119
7.2969885 0.14781635 0.15499588
7.3041694 0.14780404 0.15498063
7.3113504 0.14779197 0.15496544
7.3185314 0.14778011 0.15495031
7.3257123 0.14776847 0.15493523
7.3328933 0.14775704 0.15492021
7.3400742 0.14774583 0.15490524
7.3472552 0.14773481 0.15489033
7.3544362 0.147724 0.15487546
7.3616171 0.14771338 0.15486064
7.3687981 0.14770295 0.15484586
7.375979 0.14769271 0.15483113
7.38316 0.14768266 0.15481644
