# Data
     {R}            <X|V|X>         <A|V|A>        <B|V|B>         <C|V|C>
4.37500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.40000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.42500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.45000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.47500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.50000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.52500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.55000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.57500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.60000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.62500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.65000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.67500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.70000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.72500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.75000000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.77500000e+01  -6.88213000e-01 -6.10904000e-01 -5.70926000e-01 -5.55289000e-01
4.80000000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
4.82500000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
4.85000000e+01  -6.88213000e-01 -6.10903000e-01 -5.70926000e-01 -5.55289000e-01
