 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C>   <D|H|D>   <E|H|E>   <F|H|F>   <G|H|G>   <H|H|H>   <I|H|I>   <J|H|J> 
0.41000000000000003 5.453038924318238 5.497141854293208 5.60488462270762 5.622517466330579 5.55674295909713 5.622868991878994 5.624575693694573 5.629295981136181 5.6255237304627945 5.636734489535541 5.633661975998805
0.42000000000000004 5.368119207855463 5.413152956048107 5.521519033338961 5.5381927352251665 5.473403691573401 5.538734000735008 5.540065511655999 5.545223408476154 5.541151680351716 5.552562737653158 5.549333742129891
0.43 5.285691980880047 5.331608639795029 5.440574621308605 5.45619152392651 5.392472762554455 5.4570411526260445 5.458050791483752 5.463604585248968 5.459239781019472 5.470872440818582 5.4675607872121
0.44 5.205470652218603 5.252223487882061 5.361749607231156 5.376241134320568 5.31366879508775 5.3774997599795995 5.37823924899696 5.384155227424995 5.37950056428599 5.391375067577645 5.388043646435559
0.45 5.127168630697755 5.174712082657302 5.284742211732877 5.298068868300664 5.23671041220173 5.29981913522318 5.300338600014759 5.306591000865906 5.301646511847774 5.31378208647619 5.310482854990402
0.46 5.050499325144121 5.09878900646885 5.2092506554520055 5.221402027767538 5.16131623690549 5.223708590784292 5.224056560356282 5.230627554079887 5.2253900880868915 5.237804966060052 5.234578948066763
0.47000000000000003 4.9751761443843225 5.024168841664801 5.13497315903901 5.1459679146294235 5.087204892188358 5.148877439090443 5.149100845840662 5.155980548369029 5.15044377026727 5.163155174875073 5.160032460854775
0.48 4.900912497244974 4.950566170593248 5.061607943156905 5.071493830802114 5.014095001019548 5.075034992569133 5.07517917228703 5.082365682313227 5.076520073057893 5.0895441814670885 5.086543928544568
0.49 4.8274217925527045 4.877695575602293 4.988853228481594 4.997707078209049 4.941705186347798 5.0018905636478745 5.001999255514526 5.0094987089105825 5.003331565700229 5.016683454381941 5.013813886326278
0.5 4.754417439134129 4.80527163904003 4.9164072357021436 4.92433495878138 4.869754071100928 4.929153464754169 4.929268811342281 4.937095445058737 4.930590881503622 4.94428446216547 4.94154286939004
0.5096774193548387 4.684009066124169 4.735388171679636 4.846359947563695 4.853514159349439 4.800323736630193 4.858925947156258 4.859086207615311 4.867249068372356 4.860400677488507 4.874436912107487 4.871808026817511
0.5193548387096774 4.613815245297926 4.66568364254576 4.776357877984786 4.782858402124068 4.731068349413264 4.788839342197453 4.789080155665898 4.7975978032753455 4.790389838004805 4.804778815752534 4.802250382362087
0.5290322580645161 4.543863448620294 4.596185983934519 4.706439743605793 4.71239980361499 4.6620155205002 4.7189253240053635 4.719279996472995 4.728168620874626 4.720587446438299 4.735337417570483 4.732897701856833
0.5387096774193548 4.474181148056176 4.526923128142041 4.6366442610593 4.642170480330375 4.593192860950427 4.6492155667076 4.649715071015564 4.658988537055315 4.651022630952306 4.666139962031211 4.6637777511348135
