 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
2.206701 -3.88565690184883e-6 -3.88565690184883e-6
2.2067471 -3.963322073556911e-6 -3.963322073556911e-6
2.2067931 -4.041875738069118e-6 -4.041875738069118e-6
2.2068391 -4.1212064884614376e-6 -4.1212064884614376e-6
2.2068852 -4.20136250473998e-6 -4.20136250473998e-6
2.2069312 -4.282372602887311e-6 -4.282372602887311e-6
2.2069772 -4.364162685444955e-6 -4.364162685444955e-6
2.2070233 -4.4467401822367715e-6 -4.4467401822367715e-6
2.2070693 -4.530133424076079e-6 -4.530133424076079e-6
2.2071153 -4.614479827306217e-6 -4.614479827306217e-6
2.2071614 -4.699531658064505e-6 -4.699531658064505e-6
2.2072074 -4.785534329072026e-6 -4.785534329072026e-6
2.2072534 -4.872367732373534e-6 -4.872367732373534e-6
2.2072995 -4.959951895823106e-6 -4.959951895823106e-6
2.2073455 -5.0484052183494975e-6 -5.0484052183494975e-6
2.2073915 -5.1376472496988965e-6 -5.1376472496988965e-6
2.2074376 -5.2279148123080255e-6 -5.2279148123080255e-6
2.2074836 -5.318921366504842e-6 -5.318921366504842e-6
2.2075296 -5.410720339837898e-6 -5.410720339837898e-6
2.2075756 -5.503452669165893e-6 -5.503452669165893e-6
2.2076217 -5.597035814571758e-6 -5.597035814571758e-6
2.2076677 -5.691406844491628e-6 -5.691406844491628e-6
2.2077137 -5.786670414883222e-6 -5.786670414883222e-6
2.2077598 -5.882789181530757e-6 -5.882789181530757e-6
2.2078058 -5.97969850520897e-6 -5.97969850520897e-6
2.2078518 -6.077407078257637e-6 -6.077407078257637e-6
2.2078979 -6.17622216123697e-6 -6.17622216123697e-6
2.2079439 -6.275832869305108e-6 -6.275832869305108e-6
2.2079899 -6.376096649214293e-6 -6.376096649214293e-6
2.208036 -6.477426423881284e-6 -6.477426423881284e-6
2.208082 -6.579502403603577e-6 -6.579502403603577e-6
2.208128 -6.682436007769698e-6 -6.682436007769698e-6
2.2081741 -6.786446412545595e-6 -6.786446412545595e-6
2.2082201 -6.891101101026858e-6 -6.891101101026858e-6
2.2082661 -6.996723366655771e-6 -6.996723366655771e-6
2.2083122 -7.103326659395939e-6 -7.103326659395939e-6
2.2083582 -7.210573312428386e-6 -7.210573312428386e-6
2.2084042 -7.3188482121924324e-6 -7.3188482121924324e-6
2.2084502 -7.427938326685176e-6 -7.427938326685176e-6
2.2084963 -7.53801859458087e-6 -7.53801859458087e-6
2.2085423 -7.648962236837412e-6 -7.648962236837412e-6
2.2085883 -7.760557713205306e-6 -7.760557713205306e-6
2.2086344 -7.873316950088714e-6 -7.873316950088714e-6
2.2086804 -7.98671817965743e-6 -7.98671817965743e-6
2.2087264 -8.101280490126393e-6 -8.101280490126393e-6
2.2087725 -8.216505947826211e-6 -8.216505947826211e-6
2.2088185 -8.332658700932828e-6 -8.332658700932828e-6
2.2088645 -8.449809979156737e-6 -8.449809979156737e-6
2.2089106 -8.567740300795845e-6 -8.567740300795845e-6
2.2089566 -8.686721737770315e-6 -8.686721737770315e-6
2.2090026 -8.806532694582147e-6 -8.806532694582147e-6
2.2090487 -8.927124745280035e-6 -8.927124745280035e-6
2.2090947 -9.04865514602489e-6 -9.04865514602489e-6
2.2091407 -9.17125870055576e-6 -9.17125870055576e-6
